idx,t_us,evt,core,prio,task_id,aux,evt_name
416,49828977,2,0,1,5,0,SW_OUT
417,49828986,1,0,1,3,0,SW_IN
418,49829657,2,0,1,3,0,SW_OUT
419,49829665,1,0,1,4,0,SW_IN
420,49829969,3,0,1,4,0,TICK
421,49829977,2,0,1,4,0,SW_OUT
422,49829986,1,0,1,5,0,SW_IN
423,49830969,3,0,1,5,0,TICK
424,49830978,2,0,1,5,0,SW_OUT
425,49830986,1,0,1,4,0,SW_IN
426,49831969,3,0,1,4,0,TICK
427,49831977,2,0,1,4,0,SW_OUT
428,49831986,1,0,1,5,0,SW_IN
429,49832969,3,0,1,5,0,TICK
430,49832977,2,0,1,5,0,SW_OUT
431,49832986,1,0,1,4,0,SW_IN
432,49833971,3,0,1,4,0,TICK
433,49833978,2,0,1,4,0,SW_OUT
434,49833987,1,0,1,5,0,SW_IN
435,49834969,3,0,1,5,0,TICK
436,49834977,2,0,1,5,0,SW_OUT
437,49834986,1,0,1,4,0,SW_IN
438,49835074,2,0,1,4,0,SW_OUT
439,49835082,1,0,1,5,0,SW_IN
440,49835450,2,0,1,5,0,SW_OUT
441,49835458,1,0,0,0,0,SW_IN
442,49835970,3,0,0,0,0,TICK
443,49836970,3,0,0,0,0,TICK
444,49837970,3,0,0,0,0,TICK
445,49838970,3,0,0,0,0,TICK
446,49839970,3,0,0,0,0,TICK
447,49840972,3,0,0,0,0,TICK
448,49840980,2,0,0,0,0,SW_OUT
449,49840989,1,0,1,0,0,SW_IN
450,49841200,2,0,1,0,0,SW_OUT
451,49841209,1,0,0,0,0,SW_IN
452,49841972,3,0,0,0,0,TICK
453,49841980,2,0,0,0,0,SW_OUT
454,49841989,1,0,1,1,0,SW_IN
455,49842969,3,0,1,1,0,TICK
456,49843972,3,0,1,1,0,TICK
457,49843979,2,0,1,1,0,SW_OUT
458,49843987,1,0,1,2,0,SW_IN
459,49844969,3,0,1,2,0,TICK
460,49844977,2,0,1,2,0,SW_OUT
461,49844985,1,0,1,1,0,SW_IN
462,49845969,3,0,1,1,0,TICK
463,49845977,2,0,1,1,0,SW_OUT
464,49845984,1,0,1,2,0,SW_IN
465,49846972,3,0,1,2,0,TICK
466,49846979,2,0,1,2,0,SW_OUT
467,49846987,1,0,1,1,0,SW_IN
468,49847969,3,0,1,1,0,TICK
469,49847977,2,0,1,1,0,SW_OUT
470,49847984,1,0,1,3,0,SW_IN
471,49848969,3,0,1,3,0,TICK
472,49848977,2,0,1,3,0,SW_OUT
473,49848985,1,0,1,2,0,SW_IN
474,49849969,3,0,1,2,0,TICK
475,49849977,2,0,1,2,0,SW_OUT
476,49849985,1,0,1,1,0,SW_IN
477,49850972,3,0,1,1,0,TICK
478,49850979,2,0,1,1,0,SW_OUT
479,49850987,1,0,1,3,0,SW_IN
480,49851969,3,0,1,3,0,TICK
481,49851977,2,0,1,3,0,SW_OUT
482,49851985,1,0,1,2,0,SW_IN
483,49852969,3,0,1,2,0,TICK
484,49852977,2,0,1,2,0,SW_OUT
485,49852985,1,0,1,4,0,SW_IN
486,49853969,3,0,1,4,0,TICK
487,49853977,2,0,1,4,0,SW_OUT
488,49853986,1,0,1,1,0,SW_IN
489,49854969,3,0,1,1,0,TICK
490,49854977,2,0,1,1,0,SW_OUT
491,49854984,1,0,1,3,0,SW_IN
492,49855972,3,0,1,3,0,TICK
493,49855979,2,0,1,3,0,SW_OUT
